Sample	16S	WGS	Host
B1	SRR5942487	SRR5942299	Erethizon_dorsatum
iGEM-18	SRR5942508	SRR5942294	Canis_lupus_arctos
C1	SRR5942484	SRR5942302	Canis_latrans
iGEM-4	SRR5942491	SRR5942298	Canis_latrans
iGEM-16	SRR5942506	SRR5942304	Castor_canadensis
A2	SRR5942483	SRR5942297	Canis_lupus_arctos
D2	SRR5942487	SRR5942300	Erethizon_dorsatum
iGEM-9	SRR5942490	SRR5942301	Erethizon_dorsatum
C2	SRR5942480	SRR5942303	Canis_latrans
B2	SRR5942481	SRR5942305	Castor_canadensis
A1	SRR5942482	SRR5942296	Canis_lupus_arctos
